Цифр. код,Букв. код,Единиц,Валюта,Курс
036,AUD,1,Австралийский доллар,60.324
944,AZN,1,Азербайджанский манат,53.9364
051,AMD,100,Армянских драмов,23.6734
933,BYN,1,Белорусский рубль,28.4166
975,BGN,1,Болгарский лев,50.1536
986,BRL,1,Бразильский реал,17.9152
348,HUF,100,Венгерских форинтов,25.2713
410,KRW,1000,Вон Республики Корея,67.2819
704,VND,10000,Вьетнамских донгов,37.8251
344,HKD,1,Гонконгский доллар,11.7539
981,GEL,1,Грузинский лари,34.2172
208,DKK,1,Датская крона,13.1511
784,AED,1,Дирхам ОАЭ,24.9671
840,USD,1,Доллар США,91.6918
978,EUR,1,Евро,98.5602
818,EGP,10,Египетских фунтов,19.12
356,INR,10,Индийских рупий,10.9969
360,IDR,10000,Индонезийских рупий,56.5929
398,KZT,100,Казахстанских тенге,20.6807
124,CAD,1,Канадский доллар,66.9381
634,QAR,1,Катарский риал,25.1901
417,KGS,10,Киргизских сомов,10.3394
156,CNY,1,Китайский юань,12.6972
498,MDL,10,Молдавских леев,51.8112
554,NZD,1,Новозеландский доллар,54.7813
934,TMT,1,Новый туркменский манат,26.1977
578,NOK,10,Норвежских крон,82.8268
985,PLN,1,Польский злотый,22.6545
946,RON,1,Румынский лей,19.7187
960,XDR,1,СДР (специальные права заимствования),120.8617
941,RSD,100,Сербских динаров,83.8376
702,SGD,1,Сингапурский доллар,67.7743
972,TJS,10,Таджикских сомони,83.9776
764,THB,10,Таиландских батов,24.9081
949,TRY,10,Турецких лир,28.3446
860,UZS,10000,Узбекских сумов,72.3689
980,UAH,10,Украинских гривен,23.1929
826,GBP,1,Фунт стерлингов Соединенного королевства,114.4772
203,CZK,10,Чешских крон,39.3814
752,SEK,10,Шведских крон,83.9684
756,CHF,1,Швейцарский франк,100.8822
710,ZAR,10,Южноафриканских рэндов,49.3971
392,JPY,100,Японских иен,58.7768
